Run,TrajectoryPositionNoise,Protocol,Metric,Value
303,0,LW-Sync,Skew,37.6029
304,0,LW-Sync,Offset,148.297
304,0,LW-Sync,Skew,30.7588
305,0,LW-Sync,Offset,169.518
305,0,LW-Sync,Skew,15.7277
306,0,LW-Sync,Offset,111.289
306,0,LW-Sync,Skew,30.1199
307,0,LW-Sync,Offset,121.223
307,0,LW-Sync,Skew,30.0037
309,0,LW-Sync,Offset,134.947
309,0,LW-Sync,Skew,5.31081
308,0,LW-Sync,Offset,90.5411
308,0,LW-Sync,Skew,62.4886
310,0,LW-Sync,Offset,136.247
310,0,LW-Sync,Skew,6.42728
311,0,LW-Sync,Offset,138.683
311,0,LW-Sync,Skew,65.2801
313,0,LW-Sync,Offset,109.771
313,0,LW-Sync,Skew,46.8607
312,0,LW-Sync,Offset,119.686
312,0,LW-Sync,Skew,22.8137
315,0,LW-Sync,Offset,144.499
315,0,LW-Sync,Skew,76.9241
314,0,LW-Sync,Offset,150.651
314,0,LW-Sync,Skew,4.14889
316,0,LW-Sync,Offset,128.313
316,0,LW-Sync,Skew,16.5414
318,0,LW-Sync,Offset,209.857
318,0,LW-Sync,Skew,66.6041
317,0,LW-Sync,Offset,151.011
317,0,LW-Sync,Skew,40.8654
319,0,LW-Sync,Offset,174.122
319,0,LW-Sync,Skew,27.3853
320,0,LW-Sync,Offset,177.866
320,0,LW-Sync,Skew,8.4904
322,0,LW-Sync,Offset,150.173
322,0,LW-Sync,Skew,14.9235
323,0,LW-Sync,Offset,160.567
323,0,LW-Sync,Skew,8.43588
324,0,LW-Sync,Offset,131.735
324,0,LW-Sync,Skew,0.579975
321,0,LW-Sync,Offset,162.438
321,0,LW-Sync,Skew,57.3625
325,0,LW-Sync,Offset,169.441
325,0,LW-Sync,Skew,21.4326
326,0,LW-Sync,Offset,146.315
326,0,LW-Sync,Skew,46.1371
329,0,LW-Sync,Offset,133.136
329,0,LW-Sync,Skew,24.0222
328,0,LW-Sync,Offset,155.374
328,0,LW-Sync,Skew,19.9154
330,0,LW-Sync,Offset,160.856
330,0,LW-Sync,Skew,40.6245
327,0,LW-Sync,Offset,150.855
327,0,LW-Sync,Skew,7.43436
331,0,LW-Sync,Offset,140.24
331,0,LW-Sync,Skew,15.1218
332,0,LW-Sync,Offset,144.888
332,0,LW-Sync,Skew,6.28475
333,0,LW-Sync,Offset,179.447
333,0,LW-Sync,Skew,22.9497
335,0,LW-Sync,Offset,145.952
335,0,LW-Sync,Skew,40.6536
337,0,LW-Sync,Offset,153.629
337,0,LW-Sync,Skew,57.392
336,0,LW-Sync,Offset,87.8557
336,0,LW-Sync,Skew,73.415
334,0,LW-Sync,Offset,158.071
334,0,LW-Sync,Skew,34.0474
338,0,LW-Sync,Offset,106.062
338,0,LW-Sync,Skew,16.5342
339,0,LW-Sync,Offset,147.419
339,0,LW-Sync,Skew,39.5975
340,0,LW-Sync,Offset,109.643
340,0,LW-Sync,Skew,48.6772
341,0,LW-Sync,Offset,160.865
341,0,LW-Sync,Skew,13.7146
342,0,LW-Sync,Offset,159.422
342,0,LW-Sync,Skew,6.68021
343,0,LW-Sync,Offset,160.106
343,0,LW-Sync,Skew,30.8975
344,0,LW-Sync,Offset,138.097
344,0,LW-Sync,Skew,14.7024
345,0,LW-Sync,Offset,123.593
345,0,LW-Sync,Skew,24.7429
346,0,LW-Sync,Offset,108.662
346,0,LW-Sync,Skew,35.5697
348,0,LW-Sync,Offset,128.011
348,0,LW-Sync,Skew,13.2747
347,0,LW-Sync,Offset,148.851
347,0,LW-Sync,Skew,56.5208
349,0,LW-Sync,Offset,122.858
349,0,LW-Sync,Skew,64.3863
350,0,LW-Sync,Offset,143.51
350,0,LW-Sync,Skew,87.8922
351,0,LW-Sync,Offset,157.32
351,0,LW-Sync,Skew,47.8963
352,0,LW-Sync,Offset,108.465
352,0,LW-Sync,Skew,26.651
353,0,LW-Sync,Offset,124.661
353,0,LW-Sync,Skew,32.1401
354,0,LW-Sync,Offset,97.5766
354,0,LW-Sync,Skew,69.3816
355,0,LW-Sync,Offset,157.043
355,0,LW-Sync,Skew,11.3889
